"Predictor","Estimate","Std.Error","z.value","p.value"
"(Intercept)",-0.371676876037734,0.351619602390532,-1.05704253548676,"0.29049"
"Hand-pulling",-1.54278658767917,0.473222098117993,-3.26017443778479,"0.00111"
"Weed-eating",-2.08227902968658,0.500285539672161,-4.16218112370609,"3e-05"
"Agave presence",-0.366889559011694,0.0922368443600975,-3.97768984354384,"7e-05"
