"Treatment","Survival","Survival Probability"
"C",0.4,0.365274290471622
"H",0.4,0.36644868941695
"J",0.4,0.358988521743416
"J+H",0.25,0.203495039649514
"J+S",0.84,0.887494953626674
"J+W",0.6,0.636787854145025
"S",0.64,0.669659716550282
"S+H",0.16,0.112503366717124
"S+W",0.257142857142857,0.179591841820382
"W",0.15,0.110632229635962
