"Predictor","Estimate","Std.Error","z.value","p.value"
"(Intercept)",4.14894138773416,0.712834196251677,5.82034561410031,"5.8726e-09"
"Hand-pulling",-7.19833321148664,0.984172496460654,-7.31409710937235,"2.5912e-13"
"Agave size",-1.06500958858331,0.11958229466001,-8.90608088439251,"5.2868e-19"
"Hand-pulling:Agave size",1.06992463007614,0.142462270418273,7.51023149452,"5.9023e-14"
